qtl_key	locus	gene_symbol	dataset_label	gwas_trait	n_snps	qtl_converged	gwas_converged	qtl_n_cs	gwas_n_cs
block464__QTD000226__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_sigmoid_eQTL	Howard_DEP	1938	TRUE	TRUE	1	
block464__QTD000226__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_sigmoid_eQTL	FinnGen_DEP	1938	TRUE	TRUE	1	
block464__QTD000226__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_sigmoid_eQTL	deLange_IBD	1938	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000225399__ENSG00000225399	block464	RP11-3B7.1	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1938	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000228008__ENSG00000228008	block464	CTD-2330K9.3	GTEx_colon_sigmoid_eQTL	Howard_DEP	1380	TRUE	TRUE	1	
block464__QTD000226__ENSG00000228008__ENSG00000228008	block464	CTD-2330K9.3	GTEx_colon_sigmoid_eQTL	FinnGen_DEP	1380	TRUE	TRUE	1	
block464__QTD000226__ENSG00000228008__ENSG00000228008	block464	CTD-2330K9.3	GTEx_colon_sigmoid_eQTL	deLange_IBD	1380	TRUE	TRUE	1	1
block464__QTD000226__ENSG00000228008__ENSG00000228008	block464	CTD-2330K9.3	GTEx_colon_sigmoid_eQTL	FinnGen_IBD	1380	TRUE	TRUE	1	1
block464__QTD000230__ENSG00000114316__3:49292598:49294407:clu_43107_-	block464	USP4	GTEx_colon_sigmoid_sQTL	Howard_DEP	1915	TRUE	TRUE	1	
block464__QTD000230__ENSG00000114316__3:49292598:49294407:clu_43107_-	block464	USP4	GTEx_colon_sigmoid_sQTL	FinnGen_DEP	1915	TRUE	TRUE	1	
block464__QTD000230__ENSG00000114316__3:49292598:49294407:clu_43107_-	block464	USP4	GTEx_colon_sigmoid_sQTL	deLange_IBD	1915	TRUE	TRUE	1	1
block464__QTD000230__ENSG00000114316__3:49292598:49294407:clu_43107_-	block464	USP4	GTEx_colon_sigmoid_sQTL	FinnGen_IBD	1915	TRUE	TRUE	1	1
block464__QTD000230__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_sigmoid_sQTL	Howard_DEP	1519	TRUE	TRUE	2	
block464__QTD000230__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_sigmoid_sQTL	FinnGen_DEP	1519	TRUE	TRUE	2	
block464__QTD000230__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_sigmoid_sQTL	deLange_IBD	1519	TRUE	TRUE	2	1
block464__QTD000230__ENSG00000164068__3:49700709:49701491:clu_29483_+	block464	RNF123	GTEx_colon_sigmoid_sQTL	FinnGen_IBD	1519	TRUE	TRUE	2	1
block464__QTD000230__ENSG00000173531__3:49684189:49684371:clu_43117_-	block464	MST1	GTEx_colon_sigmoid_sQTL	Howard_DEP	1541	TRUE	TRUE	1	
block464__QTD000230__ENSG00000173531__3:49684189:49684371:clu_43117_-	block464	MST1	GTEx_colon_sigmoid_sQTL	FinnGen_DEP	1541	TRUE	TRUE	1	
block464__QTD000230__ENSG00000173531__3:49684189:49684371:clu_43117_-	block464	MST1	GTEx_colon_sigmoid_sQTL	deLange_IBD	1541	TRUE	TRUE	1	1
block464__QTD000230__ENSG00000173531__3:49684189:49684371:clu_43117_-	block464	MST1	GTEx_colon_sigmoid_sQTL	FinnGen_IBD	1541	TRUE	TRUE	1	1
block464__QTD000230__ENSG00000233276__3:49357747:49358165:clu_43073_-	block464	GPX1	GTEx_colon_sigmoid_sQTL	Howard_DEP	1831	TRUE	TRUE	1	
block464__QTD000230__ENSG00000233276__3:49357747:49358165:clu_43073_-	block464	GPX1	GTEx_colon_sigmoid_sQTL	FinnGen_DEP	1831	TRUE	TRUE	1	
block464__QTD000230__ENSG00000233276__3:49357747:49358165:clu_43073_-	block464	GPX1	GTEx_colon_sigmoid_sQTL	deLange_IBD	1831	TRUE	TRUE	1	1
block464__QTD000230__ENSG00000233276__3:49357747:49358165:clu_43073_-	block464	GPX1	GTEx_colon_sigmoid_sQTL	FinnGen_IBD	1831	TRUE	TRUE	1	1
block464__QTD000231__ENSG00000145020__ENSG00000145020	block464	AMT	GTEx_colon_transverse_eQTL	Howard_DEP	1734	TRUE	TRUE	1	
