qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	status	message
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_DEP	1e-05	1954	0.00102304445310054	8.37712307361082e-05	0.917723948902132	0.0751411118100868	0.00602812360394457	ok	
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_DEP	1e-06	1954	0.00102862506422689	8.42281949089718e-05	0.922730046598705	0.07555099949712	0.000606100645038709	ok	
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	deLange_IBD	1e-05	1954	5.05065213323868e-19	0.00111345583824044	4.53069698603921e-16	0.998827592868953	5.89512928039769e-05	ok	
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	deLange_IBD	1e-06	1954	5.05092011568228e-19	0.00111351491706996	4.53093738019376e-16	0.998880589640858	5.89544206993621e-06	ok	
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_IBD	1e-05	1954	6.13470764541771e-16	0.00111345621393369	5.50315102012436e-13	0.998827930223018	5.86135624993282e-05	ok	
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_IBD	1e-06	1954	6.13503128185322e-16	0.00111351495430422	5.50344133879693e-13	0.998880623379678	5.86166546571843e-06	ok	
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	Howard_DEP	1e-05	1972	1.2883214558438e-30	2.54536867053772e-32	0.977354788207889	0.0193065023758198	0.00333870941628806	ok	
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	Howard_DEP	1e-06	1972	1.29220432110498e-30	2.55304014378914e-32	0.980300432664689	0.0193646901418078	0.000334877193504135	ok	
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_DEP	1e-05	1972	1.20934751514273e-30	9.98907004023055e-32	0.917443064516787	0.0757729477654033	0.00678398771780369	ok	
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_DEP	1e-06	1972	1.21677665322647e-30	1.00504338580974e-31	0.923079005489019	0.0762384282703137	0.00068256624067437	ok	
