qtl_key	locus	gene_symbol	gene_id	dataset_label	qtl_type	gwas_trait	p12	PP.H4	status	message	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	idx1	idx2
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05	1.01702465593232e-10	ok		1954	2.80887039676809e-24	1.63236476703815e-15	1.7207369629436e-09	0.999999998177557	1	1
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-05	0.00546002830087771	ok		1954	4.01905267137393e-17	1.58327039821535e-15	0.0246210451561155	0.969918926543004	2	1
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06	1.01702465602541e-11	ok		1954	2.8088703970252e-24	1.63236476718757e-15	1.7207369631011e-09	0.999999998269089	1	1
block154__QTD000226__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_eQTL	eQTL	FinnGen_IBD	1e-06	0.000548699151695003	ok		1954	4.03889992849654e-17	1.59108905033499e-15	0.0247426310754346	0.974708669772868	2	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	Howard_DEP			not_screened_by_abf_gate								
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_DEP			not_screened_by_abf_gate								
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	deLange_IBD	1e-05	4.6460580201941e-07	ok		1954	9.84977557962005e-20	2.81416514798943e-05	3.49997008029854e-15	0.999971393742712	1	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	deLange_IBD	1e-06	4.64605996292189e-08	ok		1954	9.84977969825839e-20	2.81416632471964e-05	3.49997154379493e-15	0.999971811876151	1	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_IBD	1e-05	4.68077425269917e-07	ok		1954	4.84243797367075e-14	2.81416513338703e-05	1.72068773410601e-09	0.999971388550506	1	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_IBD	1e-05	0.00118354221032748	ok		1954	6.95853544758988e-07	2.74125374558352e-05	0.0247261124605246	0.974062236938147	2	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_IBD	1e-06	4.68077622456828e-08	ok		1954	4.84244001364392e-14	2.81416631890998e-05	1.72068845897989e-09	0.999971809808313	1	1
block154__QTD000230__ENSG00000260088__1:200690430:200693753:clu_50348_+	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_sigmoid_sQTL	sQTL	FinnGen_IBD	1e-06	0.00011848042495838	ok		1954	6.96595549972214e-07	2.74417680976177e-05	0.0247524785033316	0.975100902708061	2	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	Howard_DEP			not_screened_by_abf_gate								
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_DEP			not_screened_by_abf_gate								
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	deLange_IBD	1e-05	1.45465035041278e-16	ok		1972	1.20338043020818e-38	3.66984350463057e-24	3.27910557681759e-15	1	1	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	deLange_IBD	1e-06	1.45465035041278e-17	ok		1972	1.20338043020818e-38	3.66984350463057e-24	3.27910557681759e-15	1	1	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-05	2.22708931289577e-10	ok		1972	6.30456935402704e-33	3.6698434975095e-24	1.71793956501743e-09	0.999999998059351	1	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-05	0.0150669806326408	ok		1972	8.82593661913674e-26	3.5263459708911e-24	0.0240498991523762	0.960883120214987	2	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-06	2.22708931334218e-11	ok		1972	6.30456935529076e-33	3.6698434982451e-24	1.71793956536178e-09	0.999999998259796	1	1
block154__QTD000231__ENSG00000118197__ENSG00000118197	block154	DDX59	ENSG00000118197	GTEx_colon_transverse_eQTL	eQTL	FinnGen_IBD	1e-06	0.00152741017686167	ok		1972	8.94726404784838e-26	3.57482156139873e-24	0.0243805056988367	0.974092084124304	2	1
block154__QTD000231__ENSG00000260088__ENSG00000260088	block154	RP11-92G12.3	ENSG00000260088	GTEx_colon_transverse_eQTL	eQTL	Howard_DEP			not_screened_by_abf_gate								
