qtl_key	locus	dataset_label	dataset_id	qtl_type	sample_size	gene_id	gene_symbol	molecular_trait_id	n_aligned	min_qtl_p	n_molecular_traits_screened_for_gene
block464__QTD000360__ENSG00000233276__3:49357747:49358027:clu_31497_-	block464	GTEx_blood_sQTL	QTD000360	sQTL	670	ENSG00000233276	GPX1	3:49357747:49358027:clu_31497_-	1837	2.85788e-28	1
block1671__QTD000360__ENSG00000167994__11:61908306:61917357:clu_26097_-	block1671	GTEx_blood_sQTL	QTD000360	sQTL	670	ENSG00000167994	RAB3IL1	11:61908306:61917357:clu_26097_-	1493	2.51258e-14	1
block154__QTD000021__ENSG00000118197__ENSG00000118197	block154	BLUEPRINT_monocyte_eQTL	QTD000021	eQTL	191	ENSG00000118197	DDX59	ENSG00000118197	1891	7.34945e-31	1
block154__QTD000021__ENSG00000118200__ENSG00000118200	block154	BLUEPRINT_monocyte_eQTL	QTD000021	eQTL	191	ENSG00000118200	CAMSAP2	ENSG00000118200	1891	7.03447e-23	1
block464__QTD000021__ENSG00000164068__ENSG00000164068	block464	BLUEPRINT_monocyte_eQTL	QTD000021	eQTL	191	ENSG00000164068	RNF123	ENSG00000164068	1571	2.34864e-08	1
block464__QTD000021__ENSG00000173540__ENSG00000173540	block464	BLUEPRINT_monocyte_eQTL	QTD000021	eQTL	191	ENSG00000173540	GMPPB	ENSG00000173540	1528	2.01547e-07	1
block1671__QTD000021__ENSG00000134780__ENSG00000134780	block1671	BLUEPRINT_monocyte_eQTL	QTD000021	eQTL	191	ENSG00000134780	DAGLA	ENSG00000134780	1707	1.35228e-12	1
block1671__QTD000021__ENSG00000134824__ENSG00000134824	block1671	BLUEPRINT_monocyte_eQTL	QTD000021	eQTL	191	ENSG00000134824	FADS2	ENSG00000134824	1644	1.02378e-46	1
block1671__QTD000021__ENSG00000134825__ENSG00000134825	block1671	BLUEPRINT_monocyte_eQTL	QTD000021	eQTL	191	ENSG00000134825	TMEM258	ENSG00000134825	1644	6.35702e-07	1
block464__QTD000025__ENSG00000233276__3:49357747:49358027:clu_18347_-	block464	BLUEPRINT_monocyte_sQTL	QTD000025	sQTL	191	ENSG00000233276	GPX1	3:49357747:49358027:clu_18347_-	1870	3.04932e-07	1
block154__QTD000031__ENSG00000118197__ENSG00000118197	block154	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000118197	DDX59	ENSG00000118197	1884	5.96389e-41	1
block154__QTD000031__ENSG00000260088__ENSG00000260088	block154	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000260088	RP11-92G12.3	ENSG00000260088	1884	8.34587e-11	1
block464__QTD000031__ENSG00000047849__ENSG00000047849	block464	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000047849	MAP4	ENSG00000047849	1146	5.87745e-12	1
block464__QTD000031__ENSG00000164068__ENSG00000164068	block464	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000164068	RNF123	ENSG00000164068	1562	5.42633e-06	1
block464__QTD000031__ENSG00000173540__ENSG00000173540	block464	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000173540	GMPPB	ENSG00000173540	1519	4.4160500000000006e-24	1
block464__QTD000031__ENSG00000182179__ENSG00000182179	block464	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000182179	UBA7	ENSG00000182179	1460	2.0022600000000002e-23	1
block1671__QTD000031__ENSG00000134824__ENSG00000134824	block1671	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000134824	FADS2	ENSG00000134824	1658	7.729590000000001e-44	1
block1671__QTD000031__ENSG00000134825__ENSG00000134825	block1671	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000134825	TMEM258	ENSG00000134825	1658	1.18505e-13	1
block1671__QTD000031__ENSG00000149485__ENSG00000149485	block1671	BLUEPRINT_CD4_T_eQTL	QTD000031	eQTL	167	ENSG00000149485	FADS1	ENSG00000149485	1564	6.207270000000001e-29	1
block464__QTD000035__ENSG00000145022__3:49423154:49424603:clu_51417_-	block464	BLUEPRINT_CD4_T_sQTL	QTD000035	sQTL	167	ENSG00000145022	TCTA	3:49423154:49424603:clu_51417_-	1790	9.15111e-11	1
block464__QTD000035__ENSG00000164068__3:49700709:49701533:clu_51437_-	block464	BLUEPRINT_CD4_T_sQTL	QTD000035	sQTL	167	ENSG00000164068	RNF123	3:49700709:49701533:clu_51437_-	1544	2.0104500000000002e-19	1
